STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2013,,43080,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2014,,43070,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2015,,43200,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2016,,43550,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2017,,44260,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2018,,45140,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2019,,45730,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2020,,42650,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2021,,44580,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2022,,46430,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2023,,45670,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2013,,0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2014,,0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2015,,0,,b,break in time series,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2016,,0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2017,,0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2018,,10,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2019,,10,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2020,,10,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2021,,10,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2022,,10,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2023,,10,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2013,,39440,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2014,,39960,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2015,,40310,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2016,,40590,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2017,,41030,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2018,,41610,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2019,,42400,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2020,,40190,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2021,,42530,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2022,,43860,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2023,,44230,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2013,,7600,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2014,,7770,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2015,,8130,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2016,,8490,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2017,,8840,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2018,,9170,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2019,,9650,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2020,,9440,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2021,,10250,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2022,,10740,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2023,,10950,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2013,,74650,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2014,,75620,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2015,,75780,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2016,,76410,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2017,,76770,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2018,,78760,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2019,,79070,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2020,,76710,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2021,,80850,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2022,,83000,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2023,,82440,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2013,,20830,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2014,,20490,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2015,,21140,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2016,,22410,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2017,,23500,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2018,,24690,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2019,,25790,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2020,,24630,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2021,,27030,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2022,,28730,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2023,,29200,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2013,,17970,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2014,,18370,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2015,,19270,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2016,,19760,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2017,,20760,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2018,,21320,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2019,,22050,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2020,,20980,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2021,,21830,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2022,,21910,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2023,,21680,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2013,,40100,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2014,,40850,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2015,,41230,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2016,,41880,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2017,,42960,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2018,,43390,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2019,,43790,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2020,,42020,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2021,,43730,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2022,,44230,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2023,,43450,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2013,,49750,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2014,,50110,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2015,,50810,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2016,,51950,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2017,,53200,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2018,,53920,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2019,,54630,,,,,
